Title1|Author1|Genre1|Lang1|Subj1|2001|2|1

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

1984|George Orwell|Dystopian|English|Novel|1949|123456|101

